brand,model,color,description,price,price_gel,compare_at_price,sizes,product_url
Nike,Zoom Vapor 12,"blue, dark blue","Dynamics and grip for quick matches on clay The Nike Vapor 12 clay court shoe men is the perfect choice for tennis players who are looking for maximum agility and stability on clay courts. Thanks to the specially developed herringbone outsole, the shoe offers optimal grip for quick changes of direction, while the lightweight upper material ensures a comfortable fit. Responsive Zoom Air cushioning ensures optimal shock absorption and explosive acceleration, while reinforced side panels provide additional support. The breathable mesh upper keeps your feet cool and dry - ideal for long, intense matches on clay. Your advantages at a glance: Herringbone profile for perfect grip - Optimal traction on clay courts Zoom Air cushioning - Responsive shock absorption for quick acceleration Breathable, stable design - Light, comfortable and with increased support With the Nike Vapor 12 clay court shoe men you play faster, more stable and with maximum comfort - for your best tennis on clay!",118.95 €,635,159.99 €,"40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48,5, 49,5",https://www.tennis-point.de/products/nike-zoom-vapor-12-sandplatzschuh-herren-blau-dunkelblau-a0000003351001
ASICS,Court FF 3,"black, turquoise","Maximum performance on the clay court With the COURT FF 3 CLY tennis shoe from ASICS you will experience an incomparable playing feeling on the clay court. Thanks to the high-quality polyurethane and synthetic upper, the shoe offers both durability and flexibility. The rubber outsole ensures optimal grip and enables quick changes of direction, while the EVA cover sole in combination with the textile inner material ensures a high level of comfort and shock absorption. Developed specifically for men, this tennis shoe not only impresses with its functionality, but also with its sporty design that underlines your performance on the court. Highlights: Innovative materials High-quality polyurethane and synthetics for durability and flexibility Perfect grip Rubber outsole for excellent grip on clay courts Comfortable fit EVA insole and textile inner material for optimal comfort Set new standards on the clay courts with the COURT FF 3 CLY.",161.95 €,835,190.00 €,"40, 40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49, 50,5",https://www.tennis-point.de/products/asics-court-ff-3-sandplatzschuh-herren-schwarz-tuerkis-p0000001280608
ASICS,Gel-Resolution X,"dark blue, neon yellow","Maximum stability and comfort for clay courts. The ASICS Gel Resolution X men's clay court shoe offers tennis players first-class stability, cushioning and durability—perfect for intense matches on clay. Thanks to the proven GEL™ technology in the heel and forefoot, shocks are effectively absorbed, so you can enjoy maximum comfort even when moving quickly. The specially developed clay court outsole ensures optimal grip and supports dynamic changes of direction. DYNAWALL™ technology provides additional stability in the midfoot area, while the durable, breathable upper ensures a comfortable foot climate. Reinforced zones in heavily stressed areas ensure a long service life. Your advantages at a glance: GEL™ technology - optimal cushioning for joint-friendly comfort DYNAWALL™ technology - for more stability and control Clay court outsole - maximum grip on clay courts With the ASICS Gel Resolution X clay court shoe men you are well equipped to take your clay court game to the next level with stability, comfort and control!",119.95 €,640,160.00 €,"39, 39,5, 40, 40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49, 50,5",https://www.tennis-point.de/products/asics-gel-resolution-x-sandplatzschuh-herren-dunkelblau-neongelb-a0000002470201
Nike,Zoom Vapor 12,"gray, sage","Dynamics and grip for quick matches on clay The Nike Vapor 12 clay court shoe men is the perfect choice for tennis players who are looking for maximum agility and stability on clay courts. Thanks to the specially developed herringbone outsole, the shoe offers optimal grip for quick changes of direction, while the lightweight upper material ensures a comfortable fit. Responsive Zoom Air cushioning ensures optimal shock absorption and explosive acceleration, while reinforced side panels provide additional support. The breathable mesh upper keeps your feet cool and dry - ideal for long, intense matches on clay. Your advantages at a glance: Herringbone profile for perfect grip - Optimal traction on clay courts Zoom Air cushioning - Responsive shock absorption for quick acceleration Breathable, stable design - Light, comfortable and with increased support With the Nike Vapor 12 clay court shoe men you play faster, more stable and with maximum comfort - for your best tennis on clay!",159.95 €,825,159.99 €,"40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48,5, 49,5",https://www.tennis-point.de/products/nike-zoom-vapor-12-sandplatzschuh-herren-grau-salbei-a0000003351002
Nike,Zoom Vapor Pro 3,"blue, black","Speed ​​and stability - the ideal clay court shoe for demanding players. The clay court shoe for men was developed to offer maximum performance on clay courts. With its modern design and innovative technologies, it supports dynamic movements and ensures optimal comfort so that you have the upper hand in every rally. The lightweight construction with a responsive midsole ensures excellent cushioning and energy return. The specially profiled clay court outsole offers excellent grip and stability, even when changing direction quickly. The breathable mesh upper ensures a pleasant foot climate and prevents overheating, even during intense matches. Thanks to its elegant design and sophisticated functionality, this shoe is the perfect companion for players who want to combine speed, precision and comfort. Highlights: Responsive midsole for optimal cushioning and dynamics Special clay court outsole for maximum grip and stability Breathable mesh upper for long-lasting comfort and ventilation With this clay court shoe you can take your game to a new level - for confident performance in every match!",109.95 €,595,129.99 €,"40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48,5, 49,5",https://www.tennis-point.de/products/nike-zoom-vapor-pro-3-sandplatzschuh-herren-blau-schwarz-a0000003350301
ASICS,Solution Speed FF 4,"black, neon green","Perfect your tennis experience With the SOLUTION SPEED FF 4 CLAY tennis shoes you can improve your game on clay courts with ease and speed. The Asics Gel-Solution Speed ​​series offers you unparalleled comfort and stability. The upper material made of robust polyurethane ensures durability and adaptability with every movement. The EVA cover sole in combination with the rubber outsole offers optimal cushioning and grip, so that you always have a secure footing on the court. The textile inner material allows for pleasant breathability so that your feet remain relaxed even in hot game situations. Highlights: Innovative Gel Technology: Enjoy exceptional cushioning and comfort with every step. PU upper: Durable and flexible for maximum freedom of movement. EVA insole: Provides you with excellent support and adjustment. Get the perfect tennis shoes for the clay court now and experience a new level of playing comfort and speed.",133.95 €,705,160.00 €,"39, 39,5, 40, 40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49, 50,5",https://www.tennis-point.de/products/asics-solution-speed-ff-4-sandplatzschuh-herren-schwarz-neongruen-p0000002470301
New Balance,Fresh Foam X CT-Rally V2,"petrol, green","The game-changing clay court companion Reach new heights in your tennis game with New Balance's Fresh Foam X CT-Rally V2, perfectly designed for dynamic clay court matches. Thanks to the innovative mesh and textile upper, this tennis shoe offers excellent breathability and robust support at the same time. The specially developed rubber outsole guarantees maximum traction for quick changes of direction and intense hits. Comfort is increased by the EVA insole, which cushions every step and thus softens the impact on the rough surface. With its stylish design and functional features, the Fresh Foam X CT-Rally V2 is the ideal choice for every ambitious tennis player. Highlights: Breathtaking breathability: Mesh and textile ensure optimal air circulation and a high level of well-being even during intensive matches. Excellent traction: A specialized rubber sole allows agile and fast movements on clay courts. Superior Comfort: The EVA footbed provides premium cushioning and reduces stress on your joints with every step. Increase your performance and enjoy every moment on the court with the Fresh Foam X CT-Rally V2.",131.95 €,695,150.00 €,"40,5, 41,5, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46,5, 47, 47,5, 49",https://www.tennis-point.de/products/new-balance-fresh-foam-x-ct-rally-v2-sandplatzschuh-herren-petrol-gruen-p0000002501001
ASICS,Court FF 3,"white, pink","Maximum performance on the clay court With the COURT FF 3 CLY tennis shoe from ASICS you will experience an incomparable playing feeling on the clay court. Thanks to the high-quality polyurethane and synthetic upper, the shoe offers both durability and flexibility. The rubber outsole ensures optimal grip and enables quick changes of direction, while the EVA cover sole in combination with the textile inner material ensures a high level of comfort and shock absorption. Developed specifically for men, this tennis shoe not only impresses with its functionality, but also with its sporty design that underlines your performance on the court. Highlights: Innovative materials High-quality polyurethane and synthetics for durability and flexibility Perfect grip Rubber outsole for excellent grip on clay courts Comfortable fit EVA insole and textile inner material for optimal comfort Set new standards on the clay courts with the COURT FF 3 CLY.",144.95 €,755,190.00 €,"40, 40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49, 50,5",https://www.tennis-point.de/products/asics-court-ff-3-sandplatzschuh-herren-weiss-pink-p0000001280601
Nike,Zoom Vapor Pro 3,"sage, green","Speed ​​and stability - the ideal clay court shoe for demanding players. The clay court shoe for men was developed to offer maximum performance on clay courts. With its modern design and innovative technologies, it supports dynamic movements and ensures optimal comfort so that you have the upper hand in every rally. The lightweight construction with a responsive midsole ensures excellent cushioning and energy return. The specially profiled clay court outsole offers excellent grip and stability, even when changing direction quickly. The breathable mesh upper ensures a pleasant foot climate and prevents overheating, even during intense matches. Thanks to its elegant design and sophisticated functionality, this shoe is the perfect companion for players who want to combine speed, precision and comfort. Highlights: Responsive midsole for optimal cushioning and dynamics Special clay court outsole for maximum grip and stability Breathable mesh upper for long-lasting comfort and ventilation With this clay court shoe you can take your game to a new level - for confident performance in every match!",129.95 €,685,129.99 €,"40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48,5, 49,5",https://www.tennis-point.de/products/nike-zoom-vapor-pro-3-sandplatzschuh-herren-salbei-gruen-a0000003350302
ASICS,Solution Speed FF 4,"white, pink","Experience speed on the clay court The SOLUTION SPEED FF 4 from ASICS is your perfect companion if you want to dictate the pace on the tennis court. This clay court shoe offers you an unbeatable combination of speed and comfort. The high-quality polyurethane and synthetic upper ensures an ideal fit and durability. Thanks to the innovative rubber outsole, you enjoy optimal grip on the court, while the EVA insole ensures maximum comfort. The textile inner material gives a pleasantly breathable feeling. With the SOLUTION SPEED FF 4 you feel light on your feet and ready to win every rally. Highlights: Top Speed ​​Performance – Experience dynamic freedom of movement like never before. Maximum comfort - The EVA insole provides soft and comfortable support. Grip without compromise - rubber sole ensures perfect grip on clay courts. Get ready to set new standards on the tennis court with the SOLUTION SPEED FF 4.",109.95 €,595,160.00 €,"40, 40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49, 50,5",https://www.tennis-point.de/products/asics-solution-speed-ff-4-sandplatzschuh-herren-weiss-pink-p0000001261101
